filename,filepath,mod,effect,shuffle,disposable,player
gh-am-p1-01.png,./modifier_cards/base/player/gh-am-p1-01.png,0,NA,FALSE,FALSE,1
gh-am-p1-02.png,./modifier_cards/base/player/gh-am-p1-02.png,0,NA,FALSE,FALSE,1
gh-am-p1-03.png,./modifier_cards/base/player/gh-am-p1-03.png,0,NA,FALSE,FALSE,1
gh-am-p1-04.png,./modifier_cards/base/player/gh-am-p1-04.png,0,NA,FALSE,FALSE,1
gh-am-p1-05.png,./modifier_cards/base/player/gh-am-p1-05.png,0,NA,FALSE,FALSE,1
gh-am-p1-06.png,./modifier_cards/base/player/gh-am-p1-06.png,0,NA,FALSE,FALSE,1
gh-am-p1-07.png,./modifier_cards/base/player/gh-am-p1-07.png,1,NA,FALSE,FALSE,1
gh-am-p1-08.png,./modifier_cards/base/player/gh-am-p1-08.png,1,NA,FALSE,FALSE,1
gh-am-p1-09.png,./modifier_cards/base/player/gh-am-p1-09.png,1,NA,FALSE,FALSE,1
gh-am-p1-10.png,./modifier_cards/base/player/gh-am-p1-10.png,1,NA,FALSE,FALSE,1
gh-am-p1-11.png,./modifier_cards/base/player/gh-am-p1-11.png,1,NA,FALSE,FALSE,1
gh-am-p1-12.png,./modifier_cards/base/player/gh-am-p1-12.png,-1,NA,FALSE,FALSE,1
gh-am-p1-13.png,./modifier_cards/base/player/gh-am-p1-13.png,-1,NA,FALSE,FALSE,1
gh-am-p1-14.png,./modifier_cards/base/player/gh-am-p1-14.png,-1,NA,FALSE,FALSE,1
gh-am-p1-15.png,./modifier_cards/base/player/gh-am-p1-15.png,-1,NA,FALSE,FALSE,1
gh-am-p1-16.png,./modifier_cards/base/player/gh-am-p1-16.png,-1,NA,FALSE,FALSE,1
gh-am-p1-17.png,./modifier_cards/base/player/gh-am-p1-17.png,-2,NA,FALSE,FALSE,1
gh-am-p1-18.png,./modifier_cards/base/player/gh-am-p1-18.png,2,NA,FALSE,FALSE,1
gh-am-p1-19.png,./modifier_cards/base/player/gh-am-p1-19.png,NA,miss,TRUE,FALSE,1
gh-am-p1-20.png,./modifier_cards/base/player/gh-am-p1-20.png,NA,crit,TRUE,FALSE,1
gh-am-p2-01.png,./modifier_cards/base/player/gh-am-p2-01.png,0,NA,FALSE,FALSE,2
gh-am-p2-02.png,./modifier_cards/base/player/gh-am-p2-02.png,0,NA,FALSE,FALSE,2
gh-am-p2-03.png,./modifier_cards/base/player/gh-am-p2-03.png,0,NA,FALSE,FALSE,2
gh-am-p2-04.png,./modifier_cards/base/player/gh-am-p2-04.png,0,NA,FALSE,FALSE,2
gh-am-p2-05.png,./modifier_cards/base/player/gh-am-p2-05.png,0,NA,FALSE,FALSE,2
gh-am-p2-06.png,./modifier_cards/base/player/gh-am-p2-06.png,0,NA,FALSE,FALSE,2
gh-am-p2-07.png,./modifier_cards/base/player/gh-am-p2-07.png,1,NA,FALSE,FALSE,2
gh-am-p2-08.png,./modifier_cards/base/player/gh-am-p2-08.png,1,NA,FALSE,FALSE,2
gh-am-p2-09.png,./modifier_cards/base/player/gh-am-p2-09.png,1,NA,FALSE,FALSE,2
gh-am-p2-10.png,./modifier_cards/base/player/gh-am-p2-10.png,1,NA,FALSE,FALSE,2
gh-am-p2-11.png,./modifier_cards/base/player/gh-am-p2-11.png,1,NA,FALSE,FALSE,2
gh-am-p2-12.png,./modifier_cards/base/player/gh-am-p2-12.png,-1,NA,FALSE,FALSE,2
gh-am-p2-13.png,./modifier_cards/base/player/gh-am-p2-13.png,-1,NA,FALSE,FALSE,2
gh-am-p2-14.png,./modifier_cards/base/player/gh-am-p2-14.png,-1,NA,FALSE,FALSE,2
gh-am-p2-15.png,./modifier_cards/base/player/gh-am-p2-15.png,-1,NA,FALSE,FALSE,2
gh-am-p2-16.png,./modifier_cards/base/player/gh-am-p2-16.png,-1,NA,FALSE,FALSE,2
gh-am-p2-17.png,./modifier_cards/base/player/gh-am-p2-17.png,-2,NA,FALSE,FALSE,2
gh-am-p2-18.png,./modifier_cards/base/player/gh-am-p2-18.png,2,NA,FALSE,FALSE,2
gh-am-p2-19.png,./modifier_cards/base/player/gh-am-p2-19.png,NA,miss,TRUE,FALSE,2
gh-am-p2-20.png,./modifier_cards/base/player/gh-am-p2-20.png,NA,crit,TRUE,FALSE,2
gh-am-p3-01.png,./modifier_cards/base/player/gh-am-p3-01.png,0,NA,FALSE,FALSE,3
gh-am-p3-02.png,./modifier_cards/base/player/gh-am-p3-02.png,0,NA,FALSE,FALSE,3
gh-am-p3-03.png,./modifier_cards/base/player/gh-am-p3-03.png,0,NA,FALSE,FALSE,3
gh-am-p3-04.png,./modifier_cards/base/player/gh-am-p3-04.png,0,NA,FALSE,FALSE,3
gh-am-p3-05.png,./modifier_cards/base/player/gh-am-p3-05.png,0,NA,FALSE,FALSE,3
gh-am-p3-06.png,./modifier_cards/base/player/gh-am-p3-06.png,0,NA,FALSE,FALSE,3
gh-am-p3-07.png,./modifier_cards/base/player/gh-am-p3-07.png,1,NA,FALSE,FALSE,3
gh-am-p3-08.png,./modifier_cards/base/player/gh-am-p3-08.png,1,NA,FALSE,FALSE,3
gh-am-p3-09.png,./modifier_cards/base/player/gh-am-p3-09.png,1,NA,FALSE,FALSE,3
gh-am-p3-10.png,./modifier_cards/base/player/gh-am-p3-10.png,1,NA,FALSE,FALSE,3
